X1,X2,X3,X4,X5,X6,X7,ID
low,low,2,4,small,low,unacc,1630
vhigh,high,3,2,med,high,unacc,141
vhigh,med,NA,4,big,high,acc,315
vhigh,med,2,4,small,high,acc,228
vhigh,med,2,2,small,high,unacc,219
med,low,3,NA,med,high,vgood,1239
vhigh,med,2,4,med,med,unacc,230
vhigh,vhigh,2,4,med,high,unacc,15
high,med,4,2,med,low,unacc,706
med,med,2,2,big,high,unacc,1089
vhigh,low,2,2,med,low,unacc,328
vhigh,high,2,4,small,med,unacc,119
med,high,NA,NA,big,med,acc,1079
high,vhigh,3,4,small,med,unacc,470
low,vhigh,NA,NA,small,med,unacc,1397
vhigh,vhigh,NA,4,med,med,unacc,95
vhigh,high,3,4,med,med,unacc,149
vhigh,med,4,NA,big,low,unacc,295
low,high,4,NA,med,med,acc,1481
high,vhigh,2,4,big,high,unacc,450
high,vhigh,3,NA,small,low,unacc,478
low,med,3,4,med,high,good,1554
med,med,3,2,med,high,unacc,1113
high,vhigh,2,4,small,high,unacc,444
med,med,NA,NA,med,low,unacc,1183
vhigh,high,4,NA,big,low,unacc,187
med,high,3,NA,med,low,unacc,1021
high,high,4,4,small,low,unacc,604
vhigh,high,NA,2,small,med,unacc,191
high,high,2,2,big,med,unacc,548
low,low,3,NA,small,med,acc,1667
high,low,4,4,big,med,acc,827
vhigh,vhigh,3,NA,big,low,unacc,52
high,low,NA,4,med,high,acc,852
med,vhigh,3,4,med,low,unacc,904
med,low,2,4,med,med,acc,1202
vhigh,med,NA,4,small,low,unacc,307
low,low,3,NA,med,low,unacc,1669
med,low,3,2,big,med,unacc,1223
high,med,4,NA,small,med,unacc,722
low,vhigh,NA,NA,med,low,unacc,1399
low,low,3,2,small,med,unacc,1649
high,low,4,NA,med,med,acc,833
low,low,3,4,big,med,good,1664
vhigh,low,2,2,big,high,unacc,333
low,med,4,2,big,low,unacc,1573
med,low,2,4,big,high,vgood,1206
high,vhigh,4,NA,med,high,unacc,510
high,med,4,2,small,low,unacc,703
vhigh,high,3,NA,med,high,unacc,159
med,vhigh,4,2,big,high,unacc,927
high,low,NA,NA,big,high,acc,864
low,med,4,4,small,med,acc,1577
high,med,NA,2,small,high,unacc,732
med,low,4,2,big,med,unacc,1250
low,vhigh,3,2,med,high,unacc,1329
vhigh,low,2,NA,big,high,acc,351
high,high,NA,2,med,med,unacc,626
med,med,4,4,big,high,vgood,1152
vhigh,vhigh,NA,NA,small,med,unacc,101
vhigh,vhigh,NA,2,big,med,unacc,89
low,low,3,2,med,med,unacc,1652
high,low,2,4,small,med,unacc,767
med,vhigh,NA,NA,big,high,acc,972
med,med,3,2,small,med,unacc,1109
low,med,2,2,small,low,unacc,1513
med,med,4,2,big,high,unacc,1143
low,low,2,2,med,low,unacc,1624
med,high,4,2,med,med,unacc,1031
med,high,3,4,small,high,acc,1011
low,med,NA,2,med,low,unacc,1597
high,low,3,NA,med,high,acc,807
med,low,NA,NA,small,med,acc,1289
low,vhigh,4,4,small,high,acc,1362
high,low,2,2,big,low,unacc,763
med,low,NA,4,med,low,unacc,1282
low,high,NA,NA,small,med,acc,1505
med,vhigh,3,2,small,high,unacc,894
low,vhigh,3,4,big,high,acc,1341
high,low,3,4,med,low,unacc,796
vhigh,high,4,2,big,low,unacc,169
med,high,NA,2,small,low,unacc,1054
low,vhigh,4,4,med,high,acc,1365
high,low,4,4,med,low,unacc,823
high,low,4,4,small,med,unacc,821
med,vhigh,4,NA,big,med,acc,944
high,high,NA,4,big,high,acc,639
vhigh,low,3,4,med,med,unacc,365
med,high,3,NA,med,high,acc,1023
low,vhigh,NA,4,big,low,unacc,1393
low,med,NA,4,med,low,unacc,1606
low,low,2,2,big,low,unacc,1627
high,med,2,2,big,low,unacc,655
med,med,4,4,med,low,unacc,1147
vhigh,med,NA,NA,small,low,unacc,316
high,low,4,2,med,med,unacc,815
med,med,3,NA,med,low,unacc,1129
low,med,4,2,small,low,unacc,1567
low,med,4,NA,med,low,unacc,1588
high,low,2,2,big,high,unacc,765
low,med,NA,4,big,high,vgood,1611
low,vhigh,NA,NA,big,low,unacc,1402
low,med,4,NA,small,low,unacc,1585
low,vhigh,3,2,small,med,unacc,1325
low,med,2,2,big,low,unacc,1519
high,high,NA,4,small,med,unacc,632
vhigh,high,NA,NA,small,med,unacc,209
vhigh,vhigh,4,NA,med,med,unacc,77
med,high,2,NA,med,high,acc,996
vhigh,med,NA,NA,med,med,acc,320
vhigh,med,4,2,big,high,unacc,279
low,high,3,2,big,low,unacc,1438
med,high,3,NA,small,med,unacc,1019
high,med,3,2,big,med,unacc,683
med,low,NA,2,med,high,unacc,1275
vhigh,vhigh,NA,NA,med,high,unacc,105
high,vhigh,3,NA,big,high,unacc,486
med,low,4,NA,med,high,vgood,1266
